"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Nmur1" 2 1 0 3 1 0
"1700019O17Rik" 1 0 1 0 0 0
"Ptma" 28569 26524 8845 26891 7041 7051
"Pde6d" 63 101 32 99 42 51
"Cops7b" 195 312 106 347 103 131
"Nppc" 3 4 0 0 0 2
"Dis3l2" 155 236 130 381 154 197
"Alppl2" 5 11 2 3 3 4
"Alpi" 0 0 1 0 0 0
"Akp3" 3 2 2 0 0 1
"Ecel1" 2 14 2 29 10 7
"Prss56" 2 3 3 2 0 0
"Chrnd" 14 23 19 35 21 18
"Chrng" 2 13 2 1 0 2
"Eif4e2" 1849 2060 865 2386 851 977
"Efhd1" 21 28 13 18 3 6
"Gigyf2" 2343 3569 1616 5276 2053 2430
"Kcnj13" 34 109 54 132 86 87
"3110079O15Rik" 0 1 0 0 2 0
"Ngef" 9 17 6 5 3 2
"Neu2" 0 2 0 2 0 0
"Inpp5d" 1458 2360 1124 1300 550 535
"Atg16l1" 627 1052 487 1140 456 487
"Scarna6" 20 16 18 31 10 10
"Sag" 5 5 7 20 10 4
"Dgkd" 783 1165 514 1271 481 593
"Usp40" 181 309 160 520 242 251
"Ugt1a10" 0 1 0 0 0 1
"Ugt1a9" 0 0 0 0 0 0
"Ugt1a7c" 1 1 0 0 1 0
"Ugt1a6b" 0 0 0 0 0 0
"Ugt1a6a" 0 1 1 1 0 0
"Ugt1a5" 0 3 0 3 0 0
"Ugt1a2" 0 0 1 0 0 0
"Dnajb3" 2 1 0 4 0 2
"Ugt1a1" 0 4 0 0 0 0
"Mroh2a" 2 20 8 5 3 2
"Hjurp" 142 230 113 304 124 167
"6430706D22Rik" 0 0 0 0 0 0
"A730008H23Rik" 0 0 0 0 0 0
"Trpm8" 4 12 0 3 0 2
"Spp2" 0 2 0 1 0 1
"Glrp1" 3 3 0 2 0 0
"Gm19589" 1 5 4 2 1 1
"Arl4c" 113 163 71 131 42 55
"Platr5" 9 8 5 11 5 2
"1700067G17Rik" 0 0 0 0 0 0
"Sh3bp4" 224 329 112 294 95 125
"C030007H22Rik" 0 0 0 0 1 0
"Agap1" 1113 1573 695 2611 1041 1060
"4933400F21Rik" 112 268 130 250 121 107
"Gbx2" 702 694 247 849 239 245
"Asb18" 1 1 1 3 6 0
"Iqca" 2 3 0 7 4 3
"Ackr3" 23 66 41 46 18 22
"Cops8" 316 368 179 344 117 137
"Col6a3" 9 24 6 8 3 3
"Mlph" 90 215 71 209 82 93
"Prlh" 0 1 0 0 0 0
"Rab17" 7 5 1 13 0 4
"Lrrfip1" 385 478 226 566 186 213
"Rbm44" 45 72 32 161 70 99
"Ramp1" 4 7 3 2 0 1
"Ube2f" 137 170 75 200 53 78
"Scly" 119 179 78 201 67 95
"Espnl" 8 29 13 7 4 5
"Klhl30" 3 3 5 1 1 2
"Fam132b" 41 91 58 95 37 33
"Ilkap" 324 419 172 469 146 185
"1700020N18Rik" 0 0 0 0 0 1
"Hes6" 64 97 28 32 10 6
"Per2" 35 59 31 138 52 52
